fname,summary
test_12,Steven과 Tony는 부정행위를 하다가 들킨 것을 후회하며 열심히 공부해야 한다고 이야기합니다. 그들은 모두 실수에서 배우기만 하면 된다고 생각합니다. #Person1#은 부정행위를 한 것이 너무 후회된다고 말합니다. 그들은 실수에서 배운다고 생각합니다.
test_13,톰은 8시 50분에 기차를 타기 위해 #Person2#에게 9시 30분 기차를 타고 가자고 제안합니다. #Person2#는 아직 시간이 충분하지 않다고 말합니다. 톰은 시계가 8시 50분으로 늦었다고 생각합니다. 톰과 톰은 시간을 맞추기 위해 기차를 기다립니다.
test_14,"#Person1#은 #Person2#에게 자신의 삶을 어떻게 조정해야 할지 조언을 요청합니다. #Person2#는 미래에 대한 조언을 받아들여야 한다고 말합니다. #Person1#은 매일 밤 잠을 잘 못 자고, 와인을 많이 마셔 피곤하다고 합니다. #Person2#가 내일 아침 운동을 하자고 제안하자 #Person1#은 동의합니다."
test_15,"#Person2#는 Ruojia의 결혼 소식을 듣고 놀라워하며, 오늘 밤 파티에 가자고 제안합니다. #Person1#은 그녀의 트위터에서 그 소식을 들었습니다. 그녀는 이메일 확인을 원합니다. 그녀는 다기 세트를 살 예정입니다."
test_16,"#Person2#는 #Person1#에게 이 스트립을 잡아당기고, 뒷면을 떼어내라고 제안합니다. #Person1#은 #Person2#에게 두 명의 못생긴 할머니들의 사진을 넘겨달라고 요청합니다. #Person2#가 사진 찍는 것을 도와줍니다. #Person1#은 사진을 넘겨줍니다."
test_17,마이크는 여동생을 닮았다고 생각합니다. #Person2#는 #Person1#에게 여동생이 예쁘다고 말합니다. #Person1#은 #Person2#가 가족 구성원 중 가장 똑똑하다고 생각합니다. 그들은 모두 친절하고 성격이 좋습니다. #Person1#은 마이크에게 자만하지 말라고 조언합니다.
test_18,#Person1#은 #Person2#에게 체온계로 체온을 재보라고 요청합니다. #Person2#는 오늘 아침에 어지러웠습니다. #Person1#은 부모님께 결석 사실을 알립니다. 다음에는 부모님 중 한 분이 학교에 연락하시도록 안내합니다.
test_19,"#Person2#는 새 휴대폰을 사고 싶어합니다. #Person1#은 카메라와 MP3 플레이어가 있는 모델을 찾고, 영상 통화도 가능하도록 도와줍니다. #Person2#은 #Person1#에게 영상 통화와 영상 통화가 가능해졌으면 좋겠다고 합니다. #Person1#은 #Person2#를 도와줄 예정입니다."
test_20,"주디는는 새 직장에 다니면서 업무 일정이 빡빡하다고 말합니다. #Person1#은 프랭크가 우체국에서 일하게 된 이유를 설명합니다. 프랭크는 직원들에게 좋은 건강보험 혜택을 제공하며, 가족들도 무료로 의료 서비스를 받을 수 있다고 설명합니다."
test_21,"#Person2#는 케임브리지 영어 시험에서 First Certificate와 Proficiency 시험을 합격했고, 런던에 있는 루카스 비서 학원에서 1년간 공부하며 영문 속기 1분에 120단어, 타자 1분에 50단어의 속도를"
test_22,"#Person2#는 #Person1#에게 스테이크, 미디엄 레어를 주문했습니다. #Person1#은 만족스럽지 않다고 생각하지만 #Person2#가 다른 것을 가져다 주겠다고 약속합니다. #Person2#와 #Person1#은 몇 분을 기다리기로 했습니다. 그들은 다시 스테이크를 주문할 예정입니다."
test_23,"Tom의 소설이 노벨상을 받았다는 소식을 듣고, #Person1#은 축하 파티를 열기로 결정합니다. Tom은 #Person2#가 노벨상을 받을 수 있도록 도와줍니다. #Person2#는 #Person1#에게 칭찬을 아끼지 않습니다."
test_24,"#Person2#는 학생 엔지니어로서 다양한 재료의 기계적 강도와 부식 저항성에 대해 연구했고, 과학 석사 학위를 받았습니다. #Person1#은 #Person2#가 이전 직장에서 어떤 일을 하셨는지 묻고, #Person2#에게 그 일을 할 수 있는 이유가 무엇이라고 생각한다고 설명합니다."
test_25,"#Person2#는 일주일에 두세 번 술과 맥주를 마신다고 #Person1#에게 말합니다. #Person1#은 #Person2#가 술을 많이 마실 수 있다고 생각하지만, #Person2#의 반응은 다르다고 설명합니다. #Person2#은 다음 날 밤 피처에서 피처 프로모션을 할 예정입니다."
test_26,"#Person1#은과 다니엘이 소풍을 준비하는 것을 도와달라고 요청합니다. 메이는 거실로 옮기는 것을 도와주고, 다니엘은 토스트와 치킨 윙을 주문합니다. #Person1#은 다니엘에게 더 번거롭다고 말합니다."
test_27,"James는 Muriel Douglas 씨를 만나 새 계정에 대해 이야기하고, 함께 Tahoe에 스키를 타러 가기로 했습니다. #Person1#은 Susan Kim을 소개합니다. 두 사람은 조만간 다시 만날 예정입니다."
test_28,"#Person2#는 #Person1#에게 ATM에서 돈을 찾으라고 제안합니다. #Person1#은 #Person2#에게 우물 정자를 눌러 달라고 요청하며, #Person2#가 카드를 제거해 줄 것을 요청합니다. #Person2#은 위험, 위험에 노출되었다고 생각합니다. 그들은 은행을 이용해 주었다고 말합니다."
test_29,#Person2#는 #Person1#에게 직장 동료들과 대화할 때 가장 중요한 전략은 진심을 전하는 것이라고 조언합니다. #Person1#은 #Person2#가 진심을 전하기 위해 가장 중요한 전략을 사용한다고 설명합니다. #Person2#와 #Person1#은 직장 동료들과의 대화에서 가장 중요한 원칙은 진심이라고 생각합니다.
test_30,Mr. Polly는 #Person1#에게 가게에서 음료수를 한 병 사달라고 요청합니다. #Person1#은 4달러밖에 남지 않은 지갑에 4달러를 구매할 수 있을 것이라고 생각합니다. 그는 한번 시도해 보겠다고 합니다. #Person1#은 한번 시도해보라고 제안합니다.
test_31,프랜시스와 모니카는 재무 보고서를 언제 작업할 수 있는지 궁금해합니다. 프랜시스는 보고서를 검토할 시간을 꼭 찾아야 한다고 말합니다. #Person2#는 금요일 오후 1시부터 4시까지 보고가 가능하다고 설명합니다. #Person1#은 보고서를 검토하는 시간을 반드시 찾아야 한다고 강조합니다.
test_32,"#Person2#는 다음 주 인터뷰를 준비하기 위해 워크숍에 참가합니다. #Person1#은 깔끔하고 적절하게 옷을 입는 것이 중요하다고 생각하며, 면접관들은 당신의 대답만큼이나 질문에도 관심이 많습니다. #Person1#은 정직하게 대답하라고 조언합니다."
test_33,Mike와 Laura는 컷의 분노와 슬픔이 함께 있다고 생각합니다. #Person1#은 #Person2#가 감정을 표현할 때 적절하지 않다고 느끼면 다른 방법을 시도해 볼 수 있다고 말합니다.
test_34,"Mrs. Todd는 #Person1#에게 쇼핑을 가자고 제안하고, #Person1#은 #Person2#에게 정원에서 보이길래 인사를 하려고 했습니다. #Person2#는 #Person1#이 고마웠다고 말합니다. #Person1#은 이만에게 가게에서 필요한 물건을 사러 갔다고 설명합니다."
test_35,"빌은 #Person1#에게 오늘 저녁에 집에 가서 푹 쉬라고 말합니다. #Person1#은 #Person2#가 퇴근 시간에 집에 가서 쉬도록 도와줍니다. #Person2#는 자신의 시계가 4시 30분을 가리키고, 라디오에 맞추어 시간을 확인하려고 합니다."
test_36,"Simon과 Cleo는 핵무기 확산을 막기 위해 시위에 갈 예정이며, #Person1#은 평화로운 시위가 될 것이라고 확신한다."
test_37,"#Person2#는 #Person1#에게 문을 두드리며 '전기'나 '가스'라고 하면 괜찮다고 생각하지만, #Person1#은 신분증까지 보여주면 괜찮다고 생각한다. #Person1#은 #Person1#이 잘못했다고 생각하지만 #Person1#은 잘못했다고 생각하지 않는다. #Person2#가 #Person1#를 칭찬한다."
test_38,"Maggie는 도서관에서 복사한 역사 노트를 #Person1#에게 빌려줍니다. Mark는 수업이 빠르다고 느끼고, #Person1#은 그 노트를 깨어 있을 사람이 필요하다고 생각합니다. #Person2#는 수업 중에 졸리면 툭툭 쳐줍니다."
test_39,Turner 교수는 #Person1#에게 다음 학기에 지질학 고급 과목을 다시 수강할 수 있을지 문의합니다. #Person1#은 Burman 교수님의 수업을 듣고 싶다고 말합니다. #Person2#는 준비가 되었다고 생각하며 등록을 허락할 예정입니다.
test_40,#Person2#는 #Person1#에게 가게에서 펜던트를 샀다고 말합니다. #Person1#은 영수증을 가지고 10시까지 가게로 와 달라고 요청합니다. #Person2#가 새 것으로 교환해 주겠다고 약속합니다. #Person1#이 영수증과 함께 가게로 돌아오면 영수증이 도착할 예정입니다.
test_41,"#Person1#과 #Person2#는 박싱 데이 세일에 대해 이야기하고 있으며, #Person1#은 Sals-bury Seals를 모욕했다고 생각합니다. #Person1#은 #Person2#의 바보 같은 게임이나 즐겨야 한다고 말합니다."
test_42,"#Person2#는 #Person1#에게 미디어 업계에서 일하는 것이 재미있을 것 같다고 말합니다. #Person1#은 뉴스 디렉터가 될 수 있다고 말하며, #Person2#가 잡지에 글을 쓰는 것을 좋아한다고 합니다. #Person1#은 인터랙티브 미디어가 더 흥미 있다고 말합니다."
test_43,"#Person2#는 지루한 사람들이 지루한 연설만 하고 있다고 #Person1#에게 이야기합니다. #Person1#은 지루하더라도 나한텐 여기 있는 것이 중요하다고 생각합니다. #Person2#가 신문에 만화 섹션이 있는지 물어보고, #Person1#은 퍼즐 같은 게임 섹션을 읽어보라고 제안합니다."
test_44,#Person2#는 도시 중심에서 좀 떨어진 곳에 집을 사는 방법에 대해 이야기합니다. #Person1#은 그 집을 소유한 여자가 유언장도 없이 집을 팔아야 했다며 #Person2#에게 집 위치는 괜찮다고 말합니다. #Person2# 또한 집이 아주 오래된 것이었다고 생각합니다.
test_45,"Mark Leach는 런던에 있는 영국 관광청의 관광 사무소에서 정보 담당관으로 일하고 있으며, 방문객들에게 13개의 언어를 구사하고 있다."
test_46,"Lu Fang과 Lucy는 다음 수업에 대해 이야기합니다. Lin Fang은 영어, 수학, 체육을 좋아하며, #Person1#은 Nancy가 중국어를 싫어한다고 설명합니다. 두 번째 과목은 수학이고, 두 번째는 중국어라고 합니다."
test_47,James는 #Person1#에게 Mrs. Thomas의 집 개 산책과 Leah와 아들 Robbie의 주말 일정에 대해 설명합니다. #Person1#은 그 후 여동생을 Allison에게 데려갈 예정입니다.
test_48,"#Person1#과 #Person2#는 봄이 온 것 같다고 생각하지만, 밤에는 여전히 너무 추워 에어컨을 켜야 한다고 이야기합니다. #Person1#은 #Person2#에게 창문으로 들어오는 햇볕에 앉아 있어야 한다고 조언합니다."
test_49,"Mike는 Jason과 Laura가 3년 동안 함께한 것에 대해 분노하고 있으며, #Person1#은 #Person2#에게 감정을 드러낼 수 있는 방법을 제안합니다."
test_50,#Person2#는 프렌드쉽 호텔로 택시를 타고 가기로 합니다. #Person1#은 #Person2#에게 20위안의 거스름돈을 제공하기로 약속합니다. #Person2#가 미터기에 15위안을 지불할 수 있다고 말합니다. 그리고 요금을 20위안 더 지불하기로 결정했습니다.
test_51,"#Person2#는 배고파서 과자를 사고, 다른 버스를 탈 돈이 없자, #Person1#에게 환승권을 요청합니다. #Person1#은 환승권은 비용도 들지 않으며, 버스 기사님께 환승권도 받지 못했다고 말합니다."
test_52,"#Person2#는 #Person1#에게 미쓰비시, HP, IBM 등 유명한 기업들과 7층짜리 건물의 6층과 7층을 사용하고 있다고 설명합니다. #Person1#은 #Person2#에게 큰 회사 식당도 있는지 물어봅니다. #Person2#은 식당 식당도 있다고 말합니다."
test_53,"#Person2#는 #Person1#에게 Lulu가 Vic과 헤어졌으며, 전근 신청까지 했다고 말합니다. #Person1#은 그들이 사귀고 있었다는 사실도 몰랐다고 말합니다."
test_54,데이브 톰슨은 짐이 한 시간쯤 전에 나갔지만 아직 돌아오지 않았습니다. 데이브는 펍에 들렀을지도 모른다고 말합니다. 샐리는 데이브가 페인트 사러 가겠다고 했습니다.
test_55,#Person1#은 #Person2#에게 시청 가는 길을 안내합니다. #Person2#는 세 블록 걸어서 센터 스트리트로 좌회전하고 왼쪽에 시청이 보일 것이라고 설명합니다. #Person1#은 두 블록 더 걸어가면 오른쪽 시청이 보인다고 설명합니다.
test_56,"#Person1#은 #Person2#에게 여권을 잃어버렸다고 말합니다. #Person2#는 #Person1#에게 공항에서 여권을 사용한 곳을 확인하고, 분실물 보고서를 작성해 달라고 요청합니다. #Person1#은 즉시 #Person2#의 여권을 발급받을 수 있도록 도와줍니다."
test_57,"Nathaniel은 Ms. Collins에게 전화를 걸었으나, Mr. Liu는 연락이 되지 않습니다. #Person2#는 그녀의 다른 사람과 약속을 잡으라고 부탁했지만, Ms는 약속이 잡혀 있지 않습니다."
test_58,#Person2#는 #Person1#에게 그녀가 Dick 외에는 결혼하지 않겠다고 말했을 때 놀라서 기절할 뻔했다고 말합니다.
test_59,"#Person1#과 #Person2#는 이 파티에 대해 이야기합니다. #Person1#은 금발 여자에게 끌리며, Janic은 귀엽다고 생각합니다. 두 사람은 #Person1#에게 말 걸어보라고 합니다. #Person1#은 그녀가 바보처럼 보이기 때문입니다."
test_60,"Jack은 #Person1#에게 정치학 수업과 비즈니스 커뮤니케이션 수업을 가장 좋아한다고 말하며, #Person1#이 가장 좋아하는 수업은 비즈니스 커뮤니케이션 수업이라고 설명한다. JacK는 그 수업을 들어본 적이 없으며, 만약에 그 수업을 듣고 싶다면 한번 들어보겠다고 말한다."
test_61,"#Person1#과 #Person2#는 베이징의 가을이 아름답다고 생각하지만 먼지도 많이 발생한다고 생각합니다. #Person2#와 #Person1#은 베이징의 봄은 따뜻하고 짧으며, 겨울에는 더울 수 있다고 생각합니다. 또한 옷도 더 챙겨 입어야 합니다. 두 사람은 감기에 걸리지 않습니다."
test_62,#Person1#은 #Person2#에게 오늘 밤에 공포 영화와 전쟁 영화를 보러 가자고 제안합니다. #Person2#는 #Person1#에게 로맨스는 지루하다고 말합니다. #Person1#은 전쟁 영화 보러 가자는 제안을 합니다. #Person2#가 전쟁 영화를 보고 싶어한다는 것이 상상이 되지 않습니다. #Person1#은 이에 동의합니다.
test_63,Adam은 운동장 근처에 있는 하얀 건물과 도서관 남쪽에 있는 도서관을 소개합니다. #Person1#은 학교에 수영장과 수영장이 있다고 설명합니다. #Person2#는 언젠가 학교에 다닐 수 있길 바라고 있습니다. 그들은 미래에 학교를 다니고 싶다고 말합니다. 그들은 꿈에 대해 이야기합니다.
test_64,#Person1#은 #Person2#에게 임신 소식을 알립니다. #Person2#는 아기가 생겨서 기뻐합니다. #Person1#과 #Person2#은 곧 아기가 생길 것이라고 생각합니다. #Person2#와 #Person1#은 좋은 소식이 있다고 생각합니다. 그들은 아이를 낳을 예정입니다. #Person2#가 임신한 사실을 알게 된 후 기뻐합니다.
test_65,"#Person1#은 John이 일주일에 일곱 번 그녀와 데이트를 한다고 생각하지만, #Person2#는 #Person1#에게 그녀가 빠진 것 같다고 말합니다. #Person1#은 두 커플이 잘 어울린다고 생각합니다. 그들은 서로 잘 어울리는 커플이라고 생각합니다."
test_66,#Person1#은 소프트웨어에 그림 그리기 프로그램을 추가하고 광고용 전단지와 배너를 직접 만들 수 있다고 제안합니다. #Person2#는 하드웨어를 업그레이드해야 한다고 말합니다.
test_67,"크렌쇼와 호손, 홀리데이 인 코너에 있는 #Person2#는 중국에서 왔습니다. #Person1#은 #Person2#가 멕시코 출신이라고 생각합니다. 그녀는 콜롬비아 혈통도 있고, 스페인어를 할 줄 압니다. 그들은 스페인어로 시를 쓰기도 합니다."
test_68,"#Person1#은 몸무게가 늘었다고 생각하지만, #Person2#는 다이어트가 효과가 없다며 운동 수업에 가자고 제안합니다. #Person1#은 운동을 더 해야 한다고 말합니다. #Person2# 또한 운동 수업 참석을 제안합니다. 이에 대해 #Person1#은 운동 수업을 가보라고 제안합니다."
test_69,"James는 식당 홀의 창가 자리는 예약했지만, 방이 준비되지 않았다고 #Person1#에게 알립니다. Jam스는 웨이트리스에게 안내를 요청합니다. Jam스의 성함은 성함입니다. Jams는 웨이트를 통해 안내를 받습니다."
test_70,"#Person2#는 75,000 평방미터의 면적을 가진 공장이 설립되었다고 말합니다. #Person1#은 #Person2#가 원재료부터 완제품까지 처리할 수 있도록 도와줍니다. 그들은 생산 현장에 도착하여 조립 라인부터 시작할 예정입니다."
test_71,Rebecca는 대학 졸업 후 첫 직장으로 York Herald라는 지역 신문에서 인턴으로 시작하여 주니어 로컬 뉴스 리포터로 자리를 옮겼다.
test_72,"#Person1#과 #Person2#는 내일 조별 발표를 위해 문구점에 가야 합니다. #Person1#은 마커, 색연필, 가위 한 쌍, 형광펜, 자도 필요하지만 선반 위에 표시판이 있는 표시판을 찾기가 어렵다고 말합니다."
test_73,Mary는 #Person1#에게 인터넷으로 취직을 지원하기 위해 구직 사이트의 구직 희망 게시판에 정보를 올릴 수 있는지 문의합니다. #Person1#은 공식적인 사이트에 접속하는 것을 안전하다고 생각합니다. #Person2#는 공식적인 사이트를 통해 구직하는 것이 안전하다고 말합니다.
test_74,"#Person1#은 #Person2#에게 쇼핑 예산을 짜고 있다고 말합니다. #Person2#는 돈을 많이 아낄 수 있을 거라 기대하지만, #Person1#은 300달러만 쓸 수 있다고 합니다. #Person2#가 한 달에 300달러를 아껴야 하기 때문에 #Person1#은 고지서를 제출해야 합니다."
test_75,Jane과 Henry는 병원에 가기 위해 7번 버스를 타기로 했습니다. #Person1#은 #Person1#에게 13번 버스가 더 자주 다니기 때문에 병원에 가자고 제안합니다.
test_76,"#Person2#는 내년 판매 예측에 대해 #Person1#에게 설명하고, 다음 주 화요일 오후 2시 30분에 매크로 설정된 매크로의 매크로 설정에 대해 이야기합니다. #Person1#은 내일 오전에 #Person2#를 만나기로 했습니다."
test_77,"#Person2#는 #Person1#에게 뉴욕에서의 친구 서비스에 대해 설명합니다. #Person1#은 설문지를 통해 정보를 입력하고, 예산에 맞춰 완벽한 여행 일정을 만들어주는 서비스를 추천합니다. 그들은 웹사이트에서 쉽게 다운로드할 수 있습니다. #Person1#은 그들의 웹사이트에서 설문지를 받을 수 있도록 도와줍니다."
test_78,"#Person2#는 Mr. Jackson의 회사에 대해 잘 알고 있으며, #Person1#은 #Person2#에게 직장에서 연봉이 얼마인지 물어보라고 제안합니다."
test_79,#Person2#는 #Person1#에게 계약서에 서명하러 왔습니다. 계약서는 아직 준비가 되지 않았습니다. #Person1#은 #Person2#가 동의하면 오늘 저녁에 계약서를 작성해 사본을 준비하겠다고 말합니다. #Person2#도 동의할 것입니다.
test_80,#Person2#는 #Person1#에게 ABC 렌터카가 국경 근처에서 사고를 당했다고 알려줍니다. #Person2#의 친구가 심하게 다쳤다고 합니다. #Person1#은 #Person2#에게 친구를 구급차와 경찰을 불러달라고 요청합니다. #Person2#은 사고 경위에 대해 설명합니다.
test_81,#Person1#은 #Person2#에게 학교 보건실로 가는 길을 안내합니다. #Person2#는 신호등까지 직진해서 좌회전하고 오른쪽 길로 들어가서 약 5분 정도 걸릴 것이라고 설명합니다. #Person2#의 도움으로 학교 보건실까지 가는 길 안내를 도와줍니다.
test_82,#Person1#은 #Person2#에게 방을 바꾸고 싶다고 말합니다. #Person2#는 짐 엘리베이터 소리가 너무 시끄러워 어쩔 수 없다고 합니다. #Person1#은 내일 저녁에는 조용한 스위트에서 지내고 푹 잘 수 있길 바랄 것입니다.
test_83,"Mr. Wu는 베이징 호텔에 도착하여 짐을 트렁크에 넣을 예정이며, 저녁에는 픽업과 관광을 준비합니다. Maxim은 국제 호텔에서 오후에 픽업에 참석할 예정입니다."
test_84,#Person1#은 유이창으로 가는 길을 안내합니다. #Person2#는 중국 골동품 가게들이 많은 유이창을 가려고 합니다. #Person1#은 713번 버스를 타야 합니다. #Person2#가 유이창의 방향 감각이 별로 없다고 말합니다.
test_85,Mr. Li는 컴퓨터에 문제가 있어 수리공에게 도움을 요청합니다. #Person1#은 수리공이 문제를 해결할 수 있을 것이라고 생각합니다. #Person2#는 오늘 오후까지 보고서를 끝내야 합니다. 수리공은 문제를 해결하지 못하고 있습니다. #Person1#은 #Person2#에게 전화해 문제를 해결해 달라고 요청합니다.
test_86,#Person2#는 어머니 생신 선물로 목걸이와 금색 시계를 찾고 있습니다. #Person1#은 이 시계를 구매할 예정입니다. #Person2#가 어머니의 생신을 축하하고 싶어하기 때문입니다. #Person1#은 시계가 너무 화려하지 않다고 생각합니다.
test_87,"Ms. Rosser는 Mr. Fisher를 만나 커피 한잔을 대접하고, 아드님은 뉴질랜드에 지점을 열 계획이라고 말합니다. #Person1#은 #Person2#에게 커피와 스낵 뷔페를 준비할 것을 제안합니다."
test_88,"#Person2#는 #Person1#에게 러시아와 캐나다의 차이점에 대해 설명합니다. #Person1#은 러시아 사람들이 더 빠르게 움직이고, 캐나다 사람들이 더 여유롭다고 생각하며, 캐나다 사람들이 미국 사람들보다 더 차분하다고 생각합니다. 또한 #Person1#은 캐나다 사람들이 미국에 대해 더 차분한 편이라고 생각합니다."
test_89,#Person2#는 #Person1#에게 카리브해로 여행을 가자고 제안합니다. #Person1#은 날씨가 매우 안 좋다고 말합니다. #Person2# 또한 운이 좋길 바라고 있습니다. #Person1#은 #Person2#에게 휴가를 가기로 결정하면 운이 좋다고 조언합니다. #Person2#은 날씨에 대해 이야기합니다.
test_90,"#Person1# 엄마와 #Person2#는 소풍에 가져갈 과일 목록에 대해 이야기합니다. #Person1#은 오렌지와 바나나, 사과, 포도나 사과를 가져가자고 제안합니다. #Person2# 엄마는 오렌지는 다 먹었지만, 포도나 사과가 충분하지 않다고 생각합니다."
test_91,#Person2#는 #Person1#에게 경제형 차량 렌트를 위해 운전면허증을 보여줍니다. #Person1#은 #Person2#에게 내일 아침에 빌릴 수 있도록 양식을 작성해 달라고 요청합니다. #Person2#가 내일 아침에 면허증을 제출할 예정입니다.
test_92,#Person1#과 #Person2#는 엘리베이터에서 무표정한 사람들이 지겹다고 말합니다. #Person1#은 그들이 무표정하다고 생각하지만 #Person2#가 그들을 좋아하지 않기 때문에 그들의 미소가 반가울 것이라고 생각합니다. #Person1#는 그들이 잘 맞는 사람들이라고 생각합니다.
test_93,"#Person1#과 #Person2#는 작년 판매 실적에 대해 이야기하며, Wallace가 사장이 된 이후로 회사 성과가 좋아지고 있으며, 새로운 광고 캠페인 덕분에 최고 판매자가 되었다고 말한다."
test_94,#Person2#가 가방을 잃어버렸습니다. #Person1#은 #Person2#에게 돈을 빌려달라고 부탁합니다. #Person2#는 엄마에게 돈을 빌릴 수 있다고 말합니다. #Person1#은 엄마를 집에 데려다주겠다고 약속합니다. #Person2#은 돈을 빌려줍니다.
test_95,Steven은 미국인들이 중국의 풍부한 음식 문화를 높이 평가하기 때문에 팁을 지급하지 않는다고 말한다. #Person2#는 #Person1#에게 중국에서는 팁이 일반적이지 않다고 설명한다.
test_96,"빌은 오늘 룸메이트와 헤어졌고, Brain Locker에게 이사 소식을 전합니다. #Person1#은 빌이 마르고 키가 크며, 초록색 눈에 안경을 썼다고 설명합니다."
test_97,"#Person1#은 Tom Wilson의 성함과 방 번호를 확인하고, 신용카드로 결제할 수 있는지 #Person2#에게 물어봅니다. #Person2#는 신용카드 결제가 가능하다고 말합니다. #Person1#은 신용카드 결제에 동의합니다. 신용카드 결제는 신용카드 결제로 결정됩니다."
test_98,카롤라이트 수잔이 샤워 중이라 #Person1#에게 캐롤의 파티가 오늘 밤인지 내일 밤인지 물어볼 예정입니다. #Person1#은 캐롤에게 내일 밤 8시 반에 질의 집에서 디저트를 가져오라고 요청합니다.
test_99,#Person1#은 Common Fitness Gym에서 일하며 팝콘이랑 음료수를 파는 것을 보았습니다. #Person2#는 #Person1#에게 #Person1#이 모퉁이에 있는 Whole Bean Cafe에서 일한다고 말합니다.
test_100,"#Person1#과 #Person2#는 트럼프에 대한 믿음을 공유하지만, #Person1#은 그가 미국을 다시 위대하게 만들 것이라고 확신하지 않는다. 다만 바이든을 찍을 것이라고 생각하며, #Person1#은 그의 나라를 잘 돌볼 것이라고 믿는다."
test_101,#Person2#는 #Person1#에게 ATM을 사용하기 위해 카드를 기계에 넣고 비밀번호를 입력해야 한다고 설명합니다. #Person1#은 #Person2#가 원하는 옵션을 선택하도록 도와줍니다. #Person2#와 #Person1#은 다음 옵션 선택과 비밀번호 입력 방법을 논의합니다.
test_102,John과 수잔 밀러는 사무실 절차에 관한 메모 어디 있는지 알아내지 못하고 #Person2#의 비서에게 한 부 주기로 약속합니다. #Person1#은 #Person2#에게 메모의 내용을 설명합니다. #Person2#는 그것을 본 지 꽤 오래됐음을 알립니다.
test_103,"Lily는 소풍을 가기 위해 편한 옷과 걷기 좋은 신발을 준비합니다. #Person1#은 #Person2#에게 편한 옷을 입고 편한 신발을 준비해 달라고 요청합니다. Lil리는 편한 의상과 편한 신발, 편한 장신구를 준비할 예정입니다."
test_104,#Person2#는 #Person1#에게 젓가락을 밥그릇에 꽂아서는 안 된다고 조언합니다. #Person1#은 젓가락이 죽은 사람에게 바치는 향 두 개를 닮았다고 생각합니다. #Person2# 또한 젓갈을 그릇이나 접시에 가로 놓아야 한다고 말합니다.
